book_name,author,country
History and political analysis of lesbianism,Beatriz Gimeno,Spain
Invisible Women for Medicine,Carme Valls Llobet,Spain
Chemistry,Weike Wang,China
The Bell Jar,Sylvia Plath,EEUU
The passion,Jeanette Winterson,United Kingdom
A room of one's own,Virginia Woolf,United Kingdom
Normal people,Sally Rooney,Ireland
Six months in russia,Louise Bryant,EEUU
The price of salt,Patricia Highsmith,EEUU
The master and Margarita,Mikhail Bulgakov,Soviet Union
"Te deix, amor, la mar com a penyora",Carme Riera,Spain
"There Once Lived a Girl Who Seduced Her Sister's Husband, and He Hanged Himself: Love Stories",Liudmila Petrushévskaia,Russia
Reasons To Stay Alive,Matt Haig,United Kingdom