status,date,noofaccounts,nooftrans,movedamount,noofclients
A,1993-01,7,10,55742,7
A,1993-02,17,42,361805,17
A,1993-03,31,85,840236,31
A,1993-04,39,121,1337453,39
A,1993-05,48,164,1942448,48
A,1993-06,55,218,2643830,55
A,1993-07,65,280,2812214,65
A,1993-08,72,315,3087458,72
A,1993-09,82,355,2990187,82
A,1993-10,88,411,3727257,88
A,1993-11,99,434,3356092,99
A,1993-12,103,558,5481573,103
A,1994-01,104,826,5618348,104
A,1994-02,106,530,3722916,106
A,1994-03,106,567,4318853,106
A,1994-04,110,614,4757468,110
A,1994-05,113,648,5131348,113
A,1994-06,115,682,6168624,115
A,1994-07,120,665,5071156,120
A,1994-08,122,692,5924554,122
A,1994-09,123,683,5533009,123
A,1994-10,125,701,5326365,125
A,1994-11,128,698,5077937,128
A,1994-12,130,832,6930742,130
A,1995-01,136,1204,7577886,136
A,1995-02,137,707,4854732,137
A,1995-03,140,775,6030256,140
A,1995-04,143,767,5616661,143
A,1995-05,144,839,6577108,144
A,1995-06,148,863,7914163,148
A,1995-07,149,860,6718503,149
A,1995-08,151,839,6252532,151
A,1995-09,151,838,6231319,151
A,1995-10,152,866,6280832,152
A,1995-11,157,884,6041772,157
A,1995-12,159,1015,8584796,159
A,1996-01,160,1500,10107208,160
A,1996-02,165,902,6022329,165
A,1996-03,176,941,6916248,176
A,1996-04,177,953,7486553,177
A,1996-05,183,998,7862279,183
A,1996-06,187,1052,9674703,187
A,1996-07,190,1060,8450678,190
A,1996-08,191,1102,8899914,191
A,1996-09,193,1114,8598843,193
A,1996-10,194,1139,8619839,194
A,1996-11,197,1129,8847681,197
A,1996-12,197,1304,10666531,197
A,1997-01,198,1804,11355975,198
A,1997-02,199,1079,7438690,199
A,1997-03,201,1195,9395380,201
A,1997-04,202,1167,8432171,202
A,1997-05,202,1169,9160591,202
A,1997-06,203,1272,12214512,203
A,1997-07,203,1196,9139687,203
A,1997-08,203,1194,9396113,203
A,1997-09,203,1247,10774544,203
A,1997-10,203,1251,10503822,203
A,1997-11,203,1189,9286273,203
A,1997-12,203,1375,12069920,203
A,1998-01,203,1864,11381279,203
A,1998-02,203,1091,7566320,203
A,1998-03,203,1167,8424867,203
A,1998-04,203,1174,8746011,203
A,1998-05,203,1170,8956586,203
A,1998-06,203,1257,11691796,203
A,1998-07,203,1212,9582300,203
A,1998-08,203,1180,8927306,203
A,1998-09,203,1170,8431280,203
A,1998-10,203,1192,9338356,203
A,1998-11,203,1184,8807356,203
A,1998-12,201,1018,10268651,201
B,1993-01,1,3,21078,1
B,1993-02,1,3,32992,1
B,1993-03,4,12,133036,4
B,1993-04,5,16,274780,5
B,1993-05,6,26,405471,6
B,1993-06,8,38,364645,8
B,1993-07,8,34,410141,8
B,1993-08,11,46,509708,11
B,1993-09,12,68,930647,12
B,1993-10,13,66,648317,13
B,1993-11,15,85,1082085,15
B,1993-12,17,100,969288,17
B,1994-01,17,126,959814,17
B,1994-02,17,84,605752,17
B,1994-03,18,95,705224,18
B,1994-04,18,88,793797,18
B,1994-05,19,99,690489,19
B,1994-06,19,115,1234911,19
B,1994-07,19,99,688833,19
B,1994-08,18,96,704072,18
B,1994-09,19,101,1010617,19
B,1994-10,19,93,694619,19
B,1994-11,20,109,1117147,20
B,1994-12,20,118,797771,20
B,1995-01,19,171,1026764,19
B,1995-02,20,94,569906,20
B,1995-03,21,105,870346,21
B,1995-04,23,102,713606,23
B,1995-05,23,123,934572,23
B,1995-06,23,114,839846,23
B,1995-07,24,128,1076022,24
B,1995-08,25,146,1237916,25
B,1995-09,25,134,962287,25
B,1995-10,26,127,755126,26
B,1995-11,26,131,832736,26
B,1995-12,28,144,750785,28
B,1996-01,28,212,1485642,28
B,1996-02,28,146,1114365,28
B,1996-03,28,137,1059085,28
B,1996-04,28,149,1134211,28
B,1996-05,29,167,1358607,29
B,1996-06,29,149,1128581,29
B,1996-07,30,164,1196896,30
B,1996-08,30,174,1444558,30
B,1996-09,30,175,1456714,30
B,1996-10,30,170,1514416,30
B,1996-11,31,164,1125413,31
B,1996-12,31,190,1225044,31
B,1997-01,31,281,1954616,31
B,1997-02,31,161,1180655,31
B,1997-03,31,186,1606202,31
B,1997-04,31,166,1323585,31
B,1997-05,31,187,1709224,31
B,1997-06,31,193,2054131,31
B,1997-07,31,198,1878307,31
B,1997-08,31,176,1654001,31
B,1997-09,31,179,1365944,31
B,1997-10,31,180,1435813,31
B,1997-11,31,176,1460710,31
B,1997-12,31,205,1402429,31
B,1998-01,31,269,1940803,31
B,1998-02,31,170,1034159,31
B,1998-03,31,169,1201245,31
B,1998-04,31,164,1291838,31
B,1998-05,31,174,1516414,31
B,1998-06,31,197,1853746,31
B,1998-07,31,172,1052059,31
B,1998-08,31,179,1424065,31
B,1998-09,31,187,1379504,31
B,1998-10,31,190,1345043,31
B,1998-11,31,196,1723135,31
B,1998-12,30,174,1740119,30
C,1993-03,1,1,300,1
C,1993-04,3,6,22614,3
C,1993-05,6,18,155370,6
C,1993-06,8,26,391624,8
C,1993-07,9,30,236881,9
C,1993-08,12,46,492637,12
C,1993-09,15,49,443238,15
C,1993-10,19,67,514066,19
C,1993-11,21,88,839116,21
C,1993-12,22,97,780601,22
C,1994-01,25,139,1001998,25
C,1994-02,27,116,861023,27
C,1994-03,29,137,1046397,29
C,1994-04,29,145,884530,29
C,1994-05,31,161,1291445,31
C,1994-06,35,184,1633976,35
C,1994-07,37,189,1458769,37
C,1994-08,40,187,1272917,40
C,1994-09,42,221,1896834,42
C,1994-10,44,245,1971078,44
C,1994-11,50,261,2157725,50
C,1994-12,53,300,2659999,53
C,1995-01,60,420,2875982,60
C,1995-02,64,290,1936915,64
C,1995-03,69,339,2721252,69
C,1995-04,75,362,2825901,75
C,1995-05,82,391,3080359,82
C,1995-06,86,449,4495487,86
C,1995-07,93,471,4082786,93
C,1995-08,100,495,3965864,100
C,1995-09,102,503,3933715,102
C,1995-10,108,559,4393451,108
C,1995-11,116,582,4784775,116
C,1995-12,119,682,5630698,119
C,1996-01,131,961,6031339,131
C,1996-02,142,662,5009871,142
C,1996-03,152,738,5600232,152
C,1996-04,167,764,5327695,167
C,1996-05,178,844,6842956,178
C,1996-06,192,920,8822650,192
C,1996-07,213,990,8002578,213
C,1996-08,230,1094,8838507,230
C,1996-09,241,1125,8760728,241
C,1996-10,253,1267,10447642,253
C,1996-11,270,1302,10267100,270
C,1996-12,290,1591,14973008,290
C,1997-01,303,2289,15089241,303
C,1997-02,312,1464,10574918,312
C,1997-03,318,1659,12788581,318
C,1997-04,329,1714,13499473,329
C,1997-05,341,1797,13152240,341
C,1997-06,352,1970,18039465,352
C,1997-07,363,1943,14635812,363
C,1997-08,374,1999,14631835,374
C,1997-09,388,2017,14794928,388
C,1997-10,397,2130,15946222,397
C,1997-11,400,2140,15581871,400
C,1997-12,401,2480,20868544,401
C,1998-01,402,3471,22281876,402
C,1998-02,403,2107,14868039,403
C,1998-03,402,2271,16830544,402
C,1998-04,403,2228,16329104,403
C,1998-05,403,2278,16760961,403
C,1998-06,403,2454,23455625,403
C,1998-07,403,2274,16507907,403
C,1998-08,403,2267,16816703,403
C,1998-09,403,2292,18079396,403
C,1998-10,403,2257,17438232,403
C,1998-11,403,2232,16203468,403
C,1998-12,401,2041,19931732,401
D,1993-03,1,1,800,1
D,1993-04,1,2,5317,1
D,1993-05,1,1,63,1
D,1993-06,2,4,20434,2
D,1993-07,3,5,29828,3
D,1993-08,3,10,32883,3
D,1993-09,5,13,54255,5
D,1993-10,5,18,95849,5
D,1993-11,7,22,124388,7
D,1993-12,6,29,190220,6
D,1994-01,7,57,234325,7
D,1994-02,7,36,212225,7
D,1994-03,7,41,352726,7
D,1994-04,7,43,328504,7
D,1994-05,8,46,272319,8
D,1994-06,9,46,361391,9
D,1994-07,9,50,381505,9
D,1994-08,10,45,197753,10
D,1994-09,10,53,325003,10
D,1994-10,10,54,352030,10
D,1994-11,11,56,396152,11
D,1994-12,11,61,373102,11
D,1995-01,12,111,697608,12
D,1995-02,12,78,678604,12
D,1995-03,12,66,611545,12
D,1995-04,12,70,595952,12
D,1995-05,12,67,594089,12
D,1995-06,12,72,585337,12
D,1995-07,13,68,502193,13
D,1995-08,16,72,643143,16
D,1995-09,17,75,536124,17
D,1995-10,17,82,708664,17
D,1995-11,19,87,761606,19
D,1995-12,19,101,711514,19
D,1996-01,23,147,830356,23
D,1996-02,23,104,687867,23
D,1996-03,24,114,900728,24
D,1996-04,27,120,885915,27
D,1996-05,27,114,1120986,27
D,1996-06,28,153,1320665,28
D,1996-07,30,151,1193178,30
D,1996-08,30,146,1126585,30
D,1996-09,34,161,1274161,34
D,1996-10,36,186,1641702,36
D,1996-11,36,169,1440600,36
D,1996-12,40,220,1923156,40
D,1997-01,39,314,2272576,39
D,1997-02,40,198,1239314,40
D,1997-03,41,213,1580579,41
D,1997-04,40,223,1660750,40
D,1997-05,41,222,1581687,41
D,1997-06,43,271,2644830,43
D,1997-07,44,222,1685498,44
D,1997-08,45,203,1203939,45
D,1997-09,45,247,1812774,45
D,1997-10,45,232,1598086,45
D,1997-11,45,264,2195192,45
D,1997-12,45,269,1785379,45
D,1998-01,45,369,2573574,45
D,1998-02,45,252,1661387,45
D,1998-03,45,260,2266090,45
D,1998-04,45,254,2247317,45
D,1998-05,45,252,2117184,45
D,1998-06,45,251,2160398,45
D,1998-07,45,273,2598502,45
D,1998-08,45,273,2661772,45
D,1998-09,45,253,1902653,45
D,1998-10,44,250,2394528,44
D,1998-11,45,240,1638015,45
D,1998-12,42,197,1673423,42
